v4.0.3	CONSENSUS ASSESSMENTS INITIATIVE QUESTIONNAIRE v4.0.3										
Question ID	Question	CSP CAIQ Answer	SSRM Control Ownership	CSP Implementation Description (Optional/Recommended)	CSC Responsibilities  (Optional/Recommended)			CCM Control ID	CCM Control Specification	CCM Control Title	CCM Domain Title
DCS-01.1	"Are policies and procedures for the secure disposal of equipment used outside
the organization's premises established, documented, approved, communicated, enforced,
and maintained?
"	Yes	CSP-owned	"Instructure maintains a Data Classification, Handling, and Encryption Policy which includes policy on secure data destruction. AWS, our hosting provider, uses the techniques detailed in DoD 5220.22-M (“National Industrial Security Program Operating Manual “) or NIST 800-88 (“Guidelines for Media Sanitization”) to destroy data as part of the decommissioning process. All decommissioned magnetic storage devices are degaussed and physically destroyed in accordance with industry-standard practices."				DCS-01	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the secure disposal of equipment used outside the
organization's premises. If the equipment is not physically destroyed a data
destruction procedure that renders recovery of information impossible must be
applied. Review and update the policies and procedures at least annually.
"	Off-Site Equipment Disposal Policy and Procedures	Datacenter Security
DCS-01.2	"Is a data destruction procedure applied that renders information recovery
information impossible if equipment is not physically destroyed?
"	Yes	CSP-owned								
DCS-01.3	"Are policies and procedures for the secure disposal of equipment used outside
the organization's premises reviewed and updated at least annually?
"	Yes	CSP-owned	At least annually.							
DCS-02.1	"Are policies and procedures for the relocation or transfer of hardware, software,
or data/information to an offsite or alternate location established, documented,
approved, communicated, implemented, enforced, maintained?
"	Yes	CSP-owned					DCS-02	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the relocation or transfer of hardware, software,
or data/information to an offsite or alternate location. The relocation or transfer
request requires the written or cryptographically verifiable authorization.
Review and update the policies and procedures at least annually.
"	Off-Site Transfer Authorization Policy and Procedures	
DCS-02.2	"Does a relocation or transfer request require written or cryptographically
verifiable authorization?
"	Yes	CSP-owned	"Staff may require the use of portable devices (laptops) or removable media at a customer site and transport or relocate data during the course of a customer implementation using secure and encrypted devices with authentication. All Instructure personnel are required to complete Instructure's Compliance, Privacy, and Security Awareness Training within 30 days of hire as per our employment terms and conditions, and annually thereafter."							
DCS-02.3	"Are policies and procedures for the relocation or transfer of hardware, software,
or data/information to an offsite or alternate location reviewed and updated at
least annually?
"	Yes	CSP-owned	At least annually.							
DCS-03.1	"Are policies and procedures for maintaining a safe and secure working environment
(in offices, rooms, and facilities) established, documented, approved, communicated,
enforced, and maintained?
"	Yes	CSP-owned	"At Instructure's global headquarters and regional offices, where no client data is stored, guests must check in with reception and be escorted by an employee during their visit. We employ electronic key access, physical key access, and video surveillance to secure areas."				DCS-03	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for maintaining a safe and secure working environment
in offices, rooms, and facilities. Review and update the policies and procedures
at least annually.
"	Secure Area Policy and Procedures	
DCS-03.2	"Are policies and procedures for maintaining safe, secure working environments
(e.g., offices, rooms) reviewed and updated at least annually?
"	Yes	CSP-owned	At least annually.							
DCS-04.1	"Are policies and procedures for the secure transportation of physical media
established, documented, approved, communicated, enforced, evaluated, and maintained?
"	Yes	CSP-owned	"All Instructure personnel are required to complete Instructure's Compliance, Privacy, and Security Awareness Training within 30 days of hire as per our employment terms and conditions, and annually thereafter."				DCS-04	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the secure transportation of physical media. Review
and update the policies and procedures at least annually.
"	Secure Media Transportation Policy and Procedures	
DCS-04.2	"Are policies and procedures for the secure transportation of physical media
reviewed and updated at least annually?
"	Yes	CSP-owned	At least anually.							
DCS-05.1	"Is the classification and documentation of physical and logical assets based
on the organizational business risk?
"	Yes	CSP-owned					DCS-05	"Classify and document the physical, and logical assets (e.g., applications)
based on the organizational business risk.
"	Assets Classification	
DCS-06.1	"Are all relevant physical and logical assets at all CSP sites cataloged and
tracked within a secured system?
"	Yes	CSP-owned					DCS-06	"Catalogue and track all relevant physical and logical assets located
at all of the CSP's sites within a secured system.
"	Assets Cataloguing and Tracking	
DCS-07.1	"Are physical security perimeters implemented to safeguard personnel, data,
and information systems?
"	Yes	Shared CSP and 3rd-party	"At our hosting provider, AWS, physical access is strictly controlled both at the perimeter and at building ingress points by professional security staff utilising video surveillance, intrusion detection systems, and other electronic monitoring means. Authorized staff must pass two-factor authentication a minimum of two times to access data center floors. All visitors and contractors are required to present identification and are signed in and continually escorted by authorized staff. All access is time-bound and revoked after the approved time expires, and access to data centres is regularly reviewed and controlled.
 
At Instructure offices, we employ electronic key access, physical key access, and video surveillance to secure areas."				DCS-07	"Implement physical security perimeters to safeguard personnel, data,
and information systems. Establish physical security perimeters between the
administrative and business areas and the data storage and processing facilities
areas.
"	Controlled Access Points	
DCS-07.2	"Are physical security perimeters established between administrative and business
areas, data storage, and processing facilities?
"	Yes	CSP-owned	"Customer data is stored in data centers owned by our hosting provider, AWS."							
DCS-08.1	"Is equipment identification used as a method for connection authentication?
"	Yes	CSP-owned	"Instructure controls access to our platform infrastructure, hosted on Amazon Web Services. The architectural components are logically controlled by authorized Instructure employees."				DCS-08	"Use equipment identification as a method for connection authentication.
"	Equipment Identification	
DCS-09.1	"Are solely authorized personnel able to access secure areas, with all ingress
and egress areas restricted, documented, and monitored by physical access control
mechanisms?
"	Yes	3rd-party outsourced	"Customer data is stored at Amazon Web Services (AWS) data centres. These are housed in undisclosed facilities, staffed 24x7x365. Physical access is strictly controlled both at the perimeter and at building ingress points by professional security staff utilizing video surveillance, intrusion detection systems, and other electronic means. Authorized staff must pass two-factor authentication a minimum of two times to access data centre floors. All visitors and contractors are required to present identification and are signed in and continually escorted by authorized staff. Further information can be found here: https://aws.amazon.com/compliance/data-center/controls/"				DCS-09	"Allow only authorized personnel access to secure areas, with all
ingress and egress points restricted, documented, and monitored by physical
access control mechanisms. Retain access control records on a periodic basis
as deemed appropriate by the organization.
"	Secure Area Authorization	
DCS-09.2	"Are access control records retained periodically, as deemed appropriate by
the organization?
"	Yes	3rd-party outsourced								
DCS-10.1	"Are external perimeter datacenter surveillance systems and surveillance systems
at all ingress and egress points implemented, maintained, and operated?
"	Yes	3rd-party outsourced					DCS-10	"Implement, maintain, and operate datacenter surveillance systems
at the external perimeter and at all the ingress and egress points to detect
unauthorized ingress and egress attempts.
"	Surveillance System	
DCS-11.1	"Are datacenter personnel trained to respond to unauthorized access or egress
attempts?
"	Yes	3rd-party outsourced					DCS-11	"Train datacenter personnel to respond to unauthorized ingress or
egress attempts.
"	Unauthorized Access Response Training	
DCS-12.1	"Are processes, procedures, and technical measures defined, implemented, and
evaluated to ensure risk-based protection of power and telecommunication cables
from interception, interference, or damage threats at all facilities, offices,
and rooms?
"	Yes	CSP-owned					DCS-12	"Define, implement and evaluate processes, procedures and technical
measures that ensure a risk-based protection of power and telecommunication
cables from a threat of interception, interference or damage at all facilities,
offices and rooms.
"	Cabling Security	
DCS-13.1	"Are data center environmental control systems designed to monitor, maintain,
and test that on-site temperature and humidity conditions fall within accepted
industry standards effectively implemented and maintained?
"	Yes	3rd-party outsourced					DCS-13	"Implement and maintain data center environmental control systems
that monitor, maintain and test for continual effectiveness the temperature
and humidity conditions within accepted industry standards.
"	Environmental Systems	
DCS-14.1	"Are utility services secured, monitored, maintained, and tested at planned
intervals for continual effectiveness?
"	Yes	3rd-party outsourced					DCS-14	"Secure, monitor, maintain, and test utilities services for continual
effectiveness at planned intervals.
"	Secure Utilities	
DCS-15.1	"Is business-critical equipment segregated from locations subject to a high
probability of environmental risk events?
"	Yes	3rd-party outsourced	"AWS carefully chooses data center locations to mitigate environmental risk, such as flooding, extreme weather, and seismic activity."				DCS-15	"Keep business-critical equipment away from locations subject to high
probability for environmental risk events.
"	Equipment Location	
DSP-01.1	"Are policies and procedures established, documented, approved, communicated,
enforced, evaluated, and maintained for the classification, protection, and handling
of data throughout its lifecycle according to all applicable laws and regulations,
standards, and risk level?
"	Yes	CSP-owned	"Instructure maintains data classification, protection, and handling procedures throughout its lifecycle based on our Data Classification, Handling, and Encryption Policy. This policy is reviewed at least annually and approved by relevant stakeholders and the Information Security Team. The purpose of the policy is to provide Instructure personnel with guiding practices and principles for the classification and appropriate handling of all data. Instructure is also ISO 27001:2013 certified and the information classification, labeling and handling is covered under the ISO 27001:2013 standard."				DSP-01	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the classification, protection and handling of data
throughout its lifecycle, and according to all applicable laws and regulations,
standards, and risk level. Review and update the policies and procedures at
least annually.
"	Security and Privacy Policy and Procedures	Data Security and Privacy Lifecycle Management
DSP-01.2	"Are data security and privacy policies and procedures reviewed and updated
at least annually?
"	Yes	CSP-owned	At least annually.							
DSP-02.1	"Are industry-accepted methods applied for secure data disposal from storage
media so information is not recoverable by any forensic means?
"	Yes	Shared CSP and 3rd-party	"Within the Data Classification, Handling, and Encryption Policy, data destruction means commercially reasonable means are used to ensure data cannot be reconstructed (or re-identified if applicable). Data stored electronically is unrecoverable using a secure wipe program in accordance with industry-accepted standards for secure deletion. Further, customer data stored in AWS infrastructure is subject to AWS’ media destruction practices, which renders data unrecoverable."				DSP-02	"Apply industry accepted methods for the secure disposal of data from
storage media such that data is not recoverable by any forensic means.
"	Secure Disposal	
DSP-03.1	"Is a data inventory created and maintained for sensitive and personal information
(at a minimum)?
"	Yes	CSP-owned					DSP-03	"Create and maintain a data inventory, at least for any sensitive
data and personal data.
"	Data Inventory	
DSP-04.1	"Is data classified according to type and sensitivity levels?
"	Yes	CSP-owned	"All data at Instructure is classified according to four (4) levels:
 
 _ Public
 _ Internal (Confidential)
 _ Highly Sensitive (Confidential)
 _ Privileged and Confidential"				DSP-04	"Classify data according to its type and sensitivity level.
"	Data Classification	
DSP-05.1	"Is data flow documentation created to identify what data is processed and
where it is stored and transmitted?
"	Yes	CSP-owned	Instructure maintains data flow and mapping documentation.				DSP-05	"Create data flow documentation to identify what data is processed,
stored or transmitted where. Review data flow documentation at defined intervals,
at least annually, and after any change.
"	Data Flow Documentation	
DSP-05.2	"Is data flow documentation reviewed at defined intervals, at least annually,
and after any change?
"	Yes	CSP-owned	At least anually.							
DSP-06.1	"Is the ownership and stewardship of all relevant personal and sensitive data
documented?
"	Yes	CSP-owned					DSP-06	"Document ownership and stewardship of all relevant documented personal
and sensitive data. Perform review at least annually.
"	Data Ownership and Stewardship	
DSP-06.2	"Is data ownership and stewardship documentation reviewed at least annually?
"	Yes	CSP-owned	At least anually.							
DSP-07.1	"Are systems, products, and business practices based on security principles
by design and per industry best practices?
"	Yes	CSP-owned	"Instructure has a robust information security program that runs on a continuous, PDCA-cycle. It was created based on guidance provided by ISO/IEC 27000:2018 and controls described in ISO/IEC 27001:2013, and is managed by Instructure's Chief Information Security and Privacy Officer. We hold ISO 27001 certification and also draw on a range of industry standards and best practices, including OWASP, in the development of our products and their underlying architecture and infrastructure."				DSP-07	"Develop systems, products, and business practices based upon a principle
of security by design and industry best practices.
"	Data Protection by Design and Default	
DSP-08.1	"Are systems, products, and business practices based on privacy principles
by design and according to industry best practices?
"	Yes	CSP-owned	"Instructure diligently protects user privacy. Our products and services are designed and created with user privacy at the forefront and we comply with current, applicable data privacy and protection laws in the data zones we serve. This includes compliance with the EU's national data privacy and protection law, the General Data Protection Regulation (“GDPR”). We are also a signatory of the StudentPrivacyPledge.org, among other signatories such as Apple, Google, and Microsoft.
 
 For our complete commitment to privacy, please see: inst.bid/privacy"				DSP-08	"Develop systems, products, and business practices based upon a principle
of privacy by design and industry best practices. Ensure that systems' privacy
settings are configured by default, according to all applicable laws and regulations.
"	Data Privacy by Design and Default	
DSP-08.2	"Are systems' privacy settings configured by default and according to all applicable
laws and regulations?
"	Yes	CSP-owned								
DSP-09.1	"Is a data protection impact assessment (DPIA) conducted when processing personal
data and evaluating the origin, nature, particularity, and severity of risks according
to any applicable laws, regulations and industry best practices?
"	Yes	Shared CSP and CSC	"Where required, we assist our customers in conducting DPIAs."				DSP-09	"Conduct a Data Protection Impact Assessment (DPIA) to evaluate the
origin, nature, particularity and severity of the risks upon the processing
of personal data, according to any applicable laws, regulations and industry
best practices.
"	Data Protection Impact Assessment	
DSP-10.1	"Are processes, procedures, and technical measures defined, implemented, and
evaluated to ensure any transfer of personal or sensitive data is protected from
unauthorized access and only processed within scope (as permitted by respective
laws and regulations)?
"	Yes	CSP-owned	"Our platform is secured first by authentication and then by access permissions, protecting data from unauthorized access."				DSP-10	"Define, implement and evaluate processes, procedures and technical
measures that ensure any transfer of personal or sensitive data is protected
from unauthorized access and only processed within scope as permitted by the
respective laws and regulations.
"	Sensitive Data Transfer	
DSP-11.1	"Are processes, procedures, and technical measures defined, implemented, and
evaluated to enable data subjects to request access to, modify, or delete personal
data (per applicable laws and regulations)?
"	Yes	CSP-owned					DSP-11	"Define and implement, processes, procedures and technical measures
to enable data subjects to request access to, modification, or deletion of their
personal data, according to any applicable laws and regulations.
"	"Personal Data Access, Reversal, Rectification and Deletion"	
DSP-12.1	"Are processes, procedures, and technical measures defined, implemented, and
evaluated to ensure personal data is processed (per applicable laws and regulations
and for the purposes declared to the data subject)?
"	Yes	CSP-owned					DSP-12	"Define, implement and evaluate processes, procedures and technical
measures to ensure that personal data is processed according to any applicable
laws and regulations and for the purposes declared to the data subject.
"	Limitation of Purpose in Personal Data Processing	
DSP-13.1	"Are processes, procedures, and technical measures defined, implemented, and
evaluated for the transfer and sub-processing of personal data within the service
supply chain (according to any applicable laws and regulations)?
"	Yes	CSP-owned					DSP-13	"Define, implement and evaluate processes, procedures and technical
measures for the transfer and sub-processing of personal data within the service
supply chain, according to any applicable laws and regulations.
"	Personal Data Sub-processing	
DSP-14.1	"Are processes, procedures, and technical measures defined, implemented, and
evaluated to disclose details to the data owner of any personal or sensitive data
access by sub-processors before processing initiation?
"	Yes	CSP-owned					DSP-14	"Define, implement and evaluate processes, procedures and technical
measures to disclose the details of any personal or sensitive data access by
sub-processors to the data owner prior to initiation of that processing.
"	Disclosure of Data Sub-processors	
DSP-15.1	"Is authorization from data owners obtained, and the associated risk managed,
before replicating or using production data in non-production environments?
"	Yes	CSP-owned					DSP-15	"Obtain authorization from data owners, and manage associated risk
before replicating or using production data in non-production environments.
"	Limitation of Production Data Use	
DSP-16.1	"Do data retention, archiving, and deletion practices follow business requirements,
applicable laws, and regulations?
"	Yes	CSP-owned	"Instructure complies with current, applicable data privacy and protection laws in the data zones we serve."				DSP-16	"Data retention, archiving and deletion is managed in accordance with
business requirements, applicable laws and regulations.
"	Data Retention and Deletion	
DSP-17.1	"Are processes, procedures, and technical measures defined and implemented
to protect sensitive data throughout its lifecycle?
"	Yes	CSP-owned					DSP-17	"Define and implement, processes, procedures and technical measures
to protect sensitive data throughout it's lifecycle.
"	Sensitive Data Protection	
DSP-18.1	"Does the CSP have in place, and describe to CSCs, the procedure to manage
and respond to requests for disclosure of Personal Data by Law Enforcement Authorities
according to applicable laws and regulations?
"	Yes	Shared CSP and CSC					DSP-18	"The CSP must have in place, and describe to CSCs the procedure to
manage and respond to requests for disclosure of Personal Data by Law Enforcement
Authorities according to applicable laws and regulations. The CSP must give
special attention to the notification procedure to interested CSCs, unless otherwise
prohibited, such as a prohibition under criminal law to preserve confidentiality
of a law enforcement investigation.
"	Disclosure Notification	
DSP-18.2	"Does the CSP give special attention to the notification procedure to interested
CSCs, unless otherwise prohibited, such as a prohibition under criminal law to
preserve confidentiality of a law enforcement investigation?
"	Yes	Shared CSP and CSC								
DSP-19.1	"Are processes, procedures, and technical measures defined and implemented
to specify and document physical data locations, including locales where data
is processed or backed up?
"	Yes	CSP-owned	"Note, our hosting provider, AWS, does not disclose precise physical locations of data centers."				DSP-19	"Define and implement, processes, procedures and technical measures
to specify and document the physical locations of data, including any locations
in which data is processed or backed up.
"	Data Location	
GRC-01.1	"Are information governance program policies and procedures sponsored by organizational
leadership established, documented, approved, communicated, applied, evaluated,
and maintained?
"	Yes	CSP-owned					GRC-01	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for an information governance program, which is sponsored
by the leadership of the organization. Review and update the policies and procedures
at least annually.
"	Governance Program Policy and Procedures	"Governance, Risk and Compliance"
GRC-01.2	"Are the policies and procedures reviewed and updated at least annually?
"	Yes	CSP-owned	At least annually.							
GRC-02.1	"Is there an established formal, documented, and leadership-sponsored enterprise
risk management (ERM) program that includes policies and procedures for identification,
evaluation, ownership, treatment, and acceptance of cloud security and privacy
risks?
"	Yes	CSP-owned	"Instructure's Risk Management Program establishes an approach and process for continually identifying, assessing, mitigating, and monitoring risks that impact Instructure's people, systems, buildings, and processes. This program is based on guidance from the National Institute of Standards and Technology’s (NIST) Special Publication (SP) 800-37 and International Organization for Standardization (ISO) 27005: Information Security Risk Management."				GRC-02	"Establish a formal, documented, and leadership-sponsored Enterprise
Risk Management (ERM) program that includes policies and procedures for identification,
evaluation, ownership, treatment, and acceptance of cloud security and privacy
risks.
"	Risk Management Program	
GRC-03.1	"Are all relevant organizational policies and associated procedures reviewed
at least annually, or when a substantial organizational change occurs?
"	Yes	CSP-owned	At least annually.				GRC-03	"Review all relevant organizational policies and associated procedures
at least annually or when a substantial change occurs within the organization.
"	Organizational Policy Reviews	
GRC-04.1	"Is an approved exception process mandated by the governance program established
and followed whenever a deviation from an established policy occurs?
"	Yes	CSP-owned					GRC-04	"Establish and follow an approved exception process as mandated by
the governance program whenever a deviation from an established policy occurs.
"	Policy Exception Process	
GRC-05.1	"Has an information security program (including programs of all relevant CCM
domains) been developed and implemented?
"	Yes	CSP-owned					GRC-05	"Develop and implement an Information Security Program, which includes
programs for all the relevant domains of the CCM.
"	Information Security Program	
GRC-06.1	"Are roles and responsibilities for planning, implementing, operating, assessing,
and improving governance programs defined and documented?
"	Yes	CSP-owned	"Instructure has implemented an ISMS which details roles and responsibilities for planning, implementing, operating, assessing, and updating governance programs."				GRC-06	"Define and document roles and responsibilities for planning, implementing,
operating, assessing, and improving governance programs.
"	Governance Responsibility Model	
GRC-07.1	"Are all relevant standards, regulations, legal/contractual, and statutory
requirements applicable to your organization identified and documented?
"	Yes	CSP-owned					GRC-07	"Identify and document all relevant standards, regulations, legal/contractual,
and statutory requirements, which are applicable to your organization.
"	Information System Regulatory Mapping	
GRC-08.1	"Is contact established and maintained with cloud-related special interest
groups and other relevant entities?
"	Yes	CSP-owned	"Instructure's Security and Engineering Teams subscribe to security-focused lists, blogs, and other resources to maintain, expand, and share the collective body of knowledge."				GRC-08	"Establish and maintain contact with cloud-related special interest
groups and other relevant entities in line with business context.
"	Special Interest Groups	
HRS-01.1	"Are background verification policies and procedures of all new employees (including
but not limited to remote employees, contractors, and third parties) established,
documented, approved, communicated, applied, evaluated, and maintained?
"	Yes	CSP-owned	"Instructure performs criminal background checks on all employees and contractors during the hiring process, and employment is contingent based on the results of the background check. Additional credit background checks are performed on key financial employees."				HRS-01	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for background verification of all new employees (including
but not limited to remote employees, contractors, and third parties) according
to local laws, regulations, ethics, and contractual constraints and proportional
to the data classification to be accessed, the business requirements, and acceptable
risk. Review and update the policies and procedures at least annually.
"	Background Screening Policy and Procedures	Human Resources
HRS-01.2	"Are background verification policies and procedures designed according to
local laws, regulations, ethics, and contractual constraints and proportional
to the data classification to be accessed, business requirements, and acceptable
risk?
"	Yes	CSP-owned	The scope of background checks are subject to local laws in the jurisdictions in which the employee is hired.							
HRS-01.3	"Are background verification policies and procedures reviewed and updated at
least annually?
"	Yes	CSP-owned	At least annually.							
HRS-02.1	"Are policies and procedures for defining allowances and conditions for the
acceptable use of organizationally-owned or managed assets established, documented,
approved, communicated, applied, evaluated, and maintained?
"	Yes	CSP-owned					HRS-02	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for defining allowances and conditions for the acceptable
use of organizationally-owned or managed assets. Review and update the policies
and procedures at least annually.
"	Acceptable Use of Technology Policy and Procedures	
HRS-02.2	"Are the policies and procedures for defining allowances and conditions for
the acceptable use of organizationally-owned or managed assets reviewed and updated
at least annually?
"	Yes	CSP-owned	At least annually.							
HRS-03.1	"Are policies and procedures requiring unattended workspaces to conceal confidential
data established, documented, approved, communicated, applied, evaluated, and
maintained?
"	Yes	CSP-owned					HRS-03	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures that require unattended workspaces to not have openly
visible confidential data. Review and update the policies and procedures at
least annually.
"	Clean Desk Policy and Procedures	
HRS-03.2	"Are policies and procedures requiring unattended workspaces to conceal confidential
data reviewed and updated at least annually?
"	Yes	CSP-owned	At least annually.							
HRS-04.1	"Are policies and procedures to protect information accessed, processed, or
stored at remote sites and locations established, documented, approved, communicated,
applied, evaluated, and maintained?
"	Yes	CSP-owned					HRS-04	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures to protect information accessed, processed or stored
at remote sites and locations. Review and update the policies and procedures
at least annually.
"	Remote and Home Working Policy and Procedures	
HRS-04.2	"Are policies and procedures to protect information accessed, processed, or
stored at remote sites and locations reviewed and updated at least annually?
"	Yes	CSP-owned	At least annually.							
HRS-05.1	"Are return procedures of organizationally-owned assets by terminated employees
established and documented?
"	Yes	CSP-owned	"Terminated employees must return all issued software, documents, devices, access cards and any information stored on electronic media. A documented knowledge transfer process occurs where the terminated employee has knowledge crucial to ongoing operations. Confidentiality and non-disclosure agreements with employees are still valid after termination or when an employee leaves the organization."				HRS-05	"Establish and document procedures for the return of organization-owned
assets by terminated employees.
"	Asset returns	
HRS-06.1	"Are procedures outlining the roles and responsibilities concerning changes
in employment established, documented, and communicated to all personnel?
"	Yes	CSP-owned					HRS-06	"Establish, document, and communicate to all personnel the procedures
outlining the roles and responsibilities concerning changes in employment.
"	Employment Termination	
HRS-07.1	"Are employees required to sign an employment agreement before gaining access
to organizational information systems, resources, and assets?
"	Yes	CSP-owned					HRS-07	"Employees sign the employee agreement prior to being granted access
to organizational information systems, resources and assets.
"	Employment Agreement Process	
HRS-08.1	"Are provisions and/or terms for adherence to established information governance
and security policies included within employment agreements?
"	Yes	CSP-owned					HRS-08	"The organization includes within the employment agreements provisions
and/or terms for adherence to established information governance and security
policies.
"	Employment Agreement Content	
HRS-09.1	"Are employee roles and responsibilities relating to information assets and
security documented and communicated?
"	Yes	CSP-owned					HRS-09	"Document and communicate roles and responsibilities of employees,
as they relate to information assets and security.
"	Personnel Roles and Responsibilities	
HRS-10.1	"Are requirements for non-disclosure/confidentiality agreements reflecting
organizational data protection needs and operational details identified, documented,
and reviewed at planned intervals?
"	Yes	CSP-owned	Confidentiality and non-disclosure agreements with employees are still valid after termination or when an employee leaves the organization.				HRS-10	"Identify, document, and review, at planned intervals, requirements
for non-disclosure/confidentiality agreements reflecting the organization's
needs for the protection of data and operational details.
"	Non-Disclosure Agreements	
HRS-11.1	"Is a security awareness training program for all employees of the organization
established, documented, approved, communicated, applied, evaluated and maintained?
"	Yes	CSP-owned					HRS-11	"Establish, document, approve, communicate, apply, evaluate and maintain
a security awareness training program for all employees of the organization
and provide regular training updates.
"	Security Awareness Training	
HRS-11.2	"Are regular security awareness training updates provided?
"	Yes	CSP-owned	"All Instructure personnel are required to complete Instructure's Compliance, Privacy, and Security Awareness Training within 30 days of hire as per our employment terms and conditions, and annually thereafter. The content of this training includes all relevant areas of security (online, mobile, physical, MFA etc.), privacy, and compliance requirements for each employee - including our policies. There is a formal disciplinary process in place to enforce security policies, and actions are taken up to and including dismissal if policies are not followed."							
HRS-12.1	"Are all employees granted access to sensitive organizational and personal
data provided with appropriate security awareness training?
"	Yes	CSP-owned					HRS-12	"Provide all employees with access to sensitive organizational and
personal data with appropriate security awareness training and regular updates
in organizational procedures, processes, and policies relating to their professional
function relative to the organization.
"	Personal and Sensitive Data Awareness and Training	
HRS-12.2	"Are all employees granted access to sensitive organizational and personal
data provided with regular updates in procedures, processes, and policies relating
to their professional function?
"	Yes	CSP-owned								
HRS-13.1	"Are employees notified of their roles and responsibilities to maintain awareness
and compliance with established policies, procedures, and applicable legal, statutory,
or regulatory compliance obligations?
"	Yes	CSP-owned					HRS-13	"Make employees aware of their roles and responsibilities for maintaining
awareness and compliance with established policies and procedures and applicable
legal, statutory, or regulatory compliance obligations.
"	Compliance User Responsibility	
IAM-01.1	"Are identity and access management policies and procedures established, documented,
approved, communicated, implemented, applied, evaluated, and maintained?
"	Yes	CSP-owned	"Instructure employees utilize unique IDs to authenticate to systems, and policy prohibits users from directly authenticating using service accounts. Access to internal company systems, including source code repository tools, code review tools, and internal ticketing systems, requires network authentication with a valid user ID and password. Internal network password parameters include:
 
 _ prevent the reuse of at least the last 15 passwords
 _ restrict the use of 3 or more repeating characters
 _ restrict the use of a password that contains a user's display name or username
 _ check a user's proposed password against a list of known weak passwords and dictionary words
 _ limit authentication attempts to 5 times prior to account lockout for 60 minutes."				IAM-01	"Establish, document, approve, communicate, implement, apply, evaluate
and maintain policies and procedures for identity and access management. Review
and update the policies and procedures at least annually.
"	Identity and Access Management Policy and Procedures	Identity & Access Management
IAM-01.2	"Are identity and access management policies and procedures reviewed and updated
at least annually?
"	Yes	CSP-owned	At least annually.							
IAM-02.1	"Are strong password policies and procedures established, documented, approved,
communicated, implemented, applied, evaluated, and maintained?
"	Yes	CSP-owned	Please see IAM-01.1.				IAM-02	"Establish, document, approve, communicate, implement, apply, evaluate
and maintain strong password policies and procedures. Review and update the
policies and procedures at least annually.
"	Strong Password Policy and Procedures	
IAM-02.2	"Are strong password policies and procedures reviewed and updated at least
annually?
"	Yes	CSP-owned	At least annually.							
IAM-03.1	"Is system identity information and levels of access managed, stored, and reviewed?
"	Yes	CSP-owned					IAM-03	"Manage, store, and review the information of system identities, and
level of access.
"	Identity Inventory	
IAM-04.1	"Is the separation of duties principle employed when implementing information
system access?
"	Yes	CSP-owned	Instructure has a separation of duties policy for developers and administrators.				IAM-04	"Employ the separation of duties principle when implementing information
system access.
"	Separation of Duties	
IAM-05.1	"Is the least privilege principle employed when implementing information system
access?
"	Yes	CSP-owned	"Depending on their role, the user can have varying scopes of access based on the principle of least privilege."				IAM-05	"Employ the least privilege principle when implementing information
system access.
"	Least Privilege	
IAM-06.1	"Is a user access provisioning process defined and implemented which authorizes,
records, and communicates data and assets access changes?
"	Yes	CSP-owned					IAM-06	"Define and implement a user access provisioning process which authorizes,
records, and communicates access changes to data and assets.
"	User Access Provisioning	
IAM-07.1	"Is a process in place to de-provision or modify the access, in a timely manner,
of movers / leavers or system identity changes, to effectively adopt and communicate
identity and access management policies?
"	Yes	CSP-owned	"Upon employee termination or for departmental/role moves, all system access is immediately removed and/or modified."				IAM-07	"De-provision or respectively modify access of movers / leavers or
system identity changes in a timely manner in order to effectively adopt and
communicate identity and access management policies.
"	User Access Changes and Revocation	
IAM-08.1	"Are reviews and revalidation of user access for least privilege and separation
of duties completed with a frequency commensurate with organizational risk tolerance?
"	Yes	CSP-owned	Access is routinely reviewed on a quarterly basis to revalidate user access.				IAM-08	"Review and revalidate user access for least privilege and separation
of duties with a frequency that is commensurate with organizational risk tolerance.
"	User Access Review	
IAM-09.1	"Are processes, procedures, and technical measures for the segregation of privileged
access roles defined, implemented, and evaluated such that administrative data
access, encryption, key management capabilities, and logging capabilities are
distinct and separate?
"	Yes	CSP-owned	"Instructure maintains access policies and standards based upon role and least privilege access principles. Instructure uses a multiple approval system for granting access to said employees. The manager of the employee requesting access must fill out a ticket detailing the level of access to the system required and specifying which parts, functions, and features are to be accessible by the employee. Clear, valid, and necessary business justification must be provided for the user in question. Instructure’s technology teams facilitate the installation of keys for all employees with access to customer data. An automated configuration system installs employee public keys on a per-server basis based on need. This same configuration process automatically revokes keys globally when necessary."				IAM-09	"Define, implement and evaluate processes, procedures and technical
measures for the segregation of privileged access roles such that administrative
access to data, encryption and key management capabilities and logging capabilities
are distinct and separated.
"	Segregation of Privileged Access Roles	
